"Step","Yahoo b512 l0.0005 -- qx8h22fz - ndcg_5","Yahoo b512 l0.0005 -- qx8h22fz - ndcg_5__MIN","Yahoo b512 l0.0005 -- qx8h22fz - ndcg_5__MAX","Yahoo b512 l0.0005 -- qx8h22fz - ndcg_10","Yahoo b512 l0.0005 -- qx8h22fz - ndcg_10__MIN","Yahoo b512 l0.0005 -- qx8h22fz - ndcg_10__MAX","Yahoo b512 l0.0005 -- qx8h22fz - ndcg_20","Yahoo b512 l0.0005 -- qx8h22fz - ndcg_20__MIN","Yahoo b512 l0.0005 -- qx8h22fz - ndcg_20__MAX"
"100","0.00021449382232783962","0.00021449382232783962","0.00021449382232783962","0.0003149848119090799","0.0003149848119090799","0.0003149848119090799","0.0004382664220319022","0.0004382664220319022","0.0004382664220319022"
"201","0.0002260763178649772","0.0002260763178649772","0.0002260763178649772","0.00028560805814915576","0.00028560805814915576","0.00028560805814915576","0.0004640777383341415","0.0004640777383341415","0.0004640777383341415"
"302","0.00024461317670845687","0.00024461317670845687","0.00024461317670845687","0.00032697933262048706","0.00032697933262048706","0.00032697933262048706","0.00044146748127485994","0.00044146748127485994","0.00044146748127485994"
"403","0.0001681295108783456","0.0001681295108783456","0.0001681295108783456","0.0002519476062200248","0.0002519476062200248","0.0002519476062200248","0.00039726995869813","0.00039726995869813","0.00039726995869813"
"504","0.00023235739632497301","0.00023235739632497301","0.00023235739632497301","0.00026981422138412425","0.00026981422138412425","0.00026981422138412425","0.0004474747586354433","0.0004474747586354433","0.0004474747586354433"
"605","0.00019433834655610324","0.00019433834655610324","0.00019433834655610324","0.00033396192928509714","0.00033396192928509714","0.00033396192928509714","0.0004595655122756856","0.0004595655122756856","0.0004595655122756856"
"706","0.000181137234090709","0.000181137234090709","0.000181137234090709","0.00031985042835617285","0.00031985042835617285","0.00031985042835617285","0.0004285807942608008","0.0004285807942608008","0.0004285807942608008"
"807","0.00017166320760076653","0.00017166320760076653","0.00017166320760076653","0.00035231310100282176","0.00035231310100282176","0.00035231310100282176","0.0004464521330040343","0.0004464521330040343","0.0004464521330040343"
"908","0.00019433834655610324","0.00019433834655610324","0.00019433834655610324","0.00031987519159766835","0.00031987519159766835","0.00031987519159766835","0.0004826231064853948","0.0004826231064853948","0.0004826231064853948"
"1009","0.0002644721896142856","0.0002644721896142856","0.0002644721896142856","0.0003699846042390849","0.0003699846042390849","0.0003699846042390849","0.00046676324936453177","0.00046676324936453177","0.00046676324936453177"
"1110","0.00021400397020890114","0.00021400397020890114","0.00021400397020890114","0.0003221025413858327","0.0003221025413858327","0.0003221025413858327","0.0004490226890864559","0.0004490226890864559","0.0004490226890864559"
"1211","0.0002874094192795634","0.0002874094192795634","0.0002874094192795634","0.0003283686685766251","0.0003283686685766251","0.0003283686685766251","0.000486018295043069","0.000486018295043069","0.000486018295043069"
"1312","0.00024296018762423369","0.00024296018762423369","0.00024296018762423369","0.00034960681937151636","0.00034960681937151636","0.00034960681937151636","0.0004949073784871198","0.0004949073784871198","0.0004949073784871198"
"1413","0.0001866663697218253","0.0001866663697218253","0.0001866663697218253","0.00026880869697490215","0.00026880869697490215","0.00026880869697490215","0.0003823808766755449","0.0003823808766755449","0.0003823808766755449"
"1514","0.00028075151883912887","0.00028075151883912887","0.00028075151883912887","0.0003617596289697222","0.0003617596289697222","0.0003617596289697222","0.0005055442537191925","0.0005055442537191925","0.0005055442537191925"
"1615","0.0002818802836484471","0.0002818802836484471","0.0002818802836484471","0.0004061160773210691","0.0004061160773210691","0.0004061160773210691","0.0005612673825673642","0.0005612673825673642","0.0005612673825673642"
"1716","0.00031361825495732103","0.00031361825495732103","0.00031361825495732103","0.0003562532723429851","0.0003562532723429851","0.0003562532723429851","0.0005512385502822813","0.0005512385502822813","0.0005512385502822813"
"1817","0.0002691690233019913","0.0002691690233019913","0.0002691690233019913","0.000366693260389192","0.000366693260389192","0.000366693260389192","0.0004959756443740957","0.0004959756443740957","0.0004959756443740957"
"1918","0.00029068102529204324","0.00029068102529204324","0.00029068102529204324","0.0003509722659790461","0.0003509722659790461","0.0003509722659790461","0.0005236087328804878","0.0005236087328804878","0.0005236087328804878"
"2073","0.0003580674866126507","0.0003580674866126507","0.0003580674866126507","0.0004376236573135952","0.0004376236573135952","0.0004376236573135952","0.0005459686923932544","0.0005459686923932544","0.0005459686923932544"
"2174","0.00039698758263686417","0.00039698758263686417","0.00039698758263686417","0.0005015166681998857","0.0005015166681998857","0.0005015166681998857","0.0005939952832719547","0.0005939952832719547","0.0005939952832719547"
"2275","0.00032241899660091723","0.00032241899660091723","0.00032241899660091723","0.0003850784444033471","0.0003850784444033471","0.0003850784444033471","0.0005573202392350541","0.0005573202392350541","0.0005573202392350541"
"2376","0.0002716543143296251","0.0002716543143296251","0.0002716543143296251","0.00035805856622343665","0.00035805856622343665","0.00035805856622343665","0.0005450249698350898","0.0005450249698350898","0.0005450249698350898"
