"Step","Yahoo b512 l0.0005 -- qx8h22fz - contrast_sum","Yahoo b512 l0.0005 -- qx8h22fz - contrast_sum__MIN","Yahoo b512 l0.0005 -- qx8h22fz - contrast_sum__MAX","Yahoo b512 l0.0005 -- qx8h22fz - total_loss","Yahoo b512 l0.0005 -- qx8h22fz - total_loss__MIN","Yahoo b512 l0.0005 -- qx8h22fz - total_loss__MAX"
"58","1721.0133056640625","1721.0133056640625","1721.0133056640625","2031.5548095703125","2031.5548095703125","2031.5548095703125"
"59","1770.9090576171875","1770.9090576171875","1770.9090576171875","2060.43896484375","2060.43896484375","2060.43896484375"
"60","1732.9891357421875","1732.9891357421875","1732.9891357421875","2044.7445068359375","2044.7445068359375","2044.7445068359375"
"61","1749.6392822265625","1749.6392822265625","1749.6392822265625","2039.682861328125","2039.682861328125","2039.682861328125"
"62","1722.5234375","1722.5234375","1722.5234375","2006.186279296875","2006.186279296875","2006.186279296875"
"63","1774.8192138671875","1774.8192138671875","1774.8192138671875","2092.352294921875","2092.352294921875","2092.352294921875"
"64","1728.8994140625","1728.8994140625","1728.8994140625","2045.43603515625","2045.43603515625","2045.43603515625"
"65","1744.48046875","1744.48046875","1744.48046875","2019.6590576171875","2019.6590576171875","2019.6590576171875"
"66","1774.325439453125","1774.325439453125","1774.325439453125","2071.85595703125","2071.85595703125","2071.85595703125"
"67","1723.904296875","1723.904296875","1723.904296875","2034.93994140625","2034.93994140625","2034.93994140625"
"68","1724.3470458984375","1724.3470458984375","1724.3470458984375","2051.828369140625","2051.828369140625","2051.828369140625"
"69","1752.1448974609375","1752.1448974609375","1752.1448974609375","2044.1248779296875","2044.1248779296875","2044.1248779296875"
"70","1743.706298828125","1743.706298828125","1743.706298828125","2030.309326171875","2030.309326171875","2030.309326171875"
"71","1754.638671875","1754.638671875","1754.638671875","2042.43212890625","2042.43212890625","2042.43212890625"
"72","1775.3394775390625","1775.3394775390625","1775.3394775390625","2059.134521484375","2059.134521484375","2059.134521484375"
"73","1749.593994140625","1749.593994140625","1749.593994140625","2050.06298828125","2050.06298828125","2050.06298828125"
"74","1762.388671875","1762.388671875","1762.388671875","2092.884521484375","2092.884521484375","2092.884521484375"
"75","1733.6002197265625","1733.6002197265625","1733.6002197265625","2028.619873046875","2028.619873046875","2028.619873046875"
"76","1718.4664306640625","1718.4664306640625","1718.4664306640625","2037.879638671875","2037.879638671875","2037.879638671875"
"77","1786.9637451171875","1786.9637451171875","1786.9637451171875","2026.7264404296875","2026.7264404296875","2026.7264404296875"
"78","1766.4793701171875","1766.4793701171875","1766.4793701171875","2014.631103515625","2014.631103515625","2014.631103515625"
"79","1709.1541748046875","1709.1541748046875","1709.1541748046875","2008.307861328125","2008.307861328125","2008.307861328125"
"80","1754.419189453125","1754.419189453125","1754.419189453125","2031.9678955078125","2031.9678955078125","2031.9678955078125"
"81","1739.0537109375","1739.0537109375","1739.0537109375","2047.681396484375","2047.681396484375","2047.681396484375"
"82","1740.6492919921875","1740.6492919921875","1740.6492919921875","2050.0107421875","2050.0107421875","2050.0107421875"
"83","1747.9207763671875","1747.9207763671875","1747.9207763671875","2012.6541748046875","2012.6541748046875","2012.6541748046875"
"84","1688.21875","1688.21875","1688.21875","1970.541259765625","1970.541259765625","1970.541259765625"
"85","1707.4527587890625","1707.4527587890625","1707.4527587890625","1991.647216796875","1991.647216796875","1991.647216796875"
"86","1707.9066162109375","1707.9066162109375","1707.9066162109375","1981.133056640625","1981.133056640625","1981.133056640625"
"87","1727.7327880859375","1727.7327880859375","1727.7327880859375","1989.7674560546875","1989.7674560546875","1989.7674560546875"
"88","1745.7672119140625","1745.7672119140625","1745.7672119140625","1984.259521484375","1984.259521484375","1984.259521484375"
"89","1712.5067138671875","1712.5067138671875","1712.5067138671875","1994.36669921875","1994.36669921875","1994.36669921875"
"90","1741.3436279296875","1741.3436279296875","1741.3436279296875","1997.6754150390625","1997.6754150390625","1997.6754150390625"
"91","1684.1239013671875","1684.1239013671875","1684.1239013671875","1926.947265625","1926.947265625","1926.947265625"
"92","1720.8394775390625","1720.8394775390625","1720.8394775390625","2012.6187744140625","2012.6187744140625","2012.6187744140625"
"93","1709.826171875","1709.826171875","1709.826171875","1957.637939453125","1957.637939453125","1957.637939453125"
"94","1718.2010498046875","1718.2010498046875","1718.2010498046875","1999.299560546875","1999.299560546875","1999.299560546875"
"95","1709.6429443359375","1709.6429443359375","1709.6429443359375","1979.14599609375","1979.14599609375","1979.14599609375"
"96","1698.971923828125","1698.971923828125","1698.971923828125","1991.6173095703125","1991.6173095703125","1991.6173095703125"
"97","1685.8397216796875","1685.8397216796875","1685.8397216796875","1954.193359375","1954.193359375","1954.193359375"
"98","1665.7811279296875","1665.7811279296875","1665.7811279296875","1956.457275390625","1956.457275390625","1956.457275390625"
"99","1703.9442138671875","1703.9442138671875","1703.9442138671875","1998.100830078125","1998.100830078125","1998.100830078125"
"101","1657.259765625","1657.259765625","1657.259765625","1979.87255859375","1979.87255859375","1979.87255859375"
"102","1692.743408203125","1692.743408203125","1692.743408203125","1960.2943115234375","1960.2943115234375","1960.2943115234375"
"103","1700.484619140625","1700.484619140625","1700.484619140625","2027.933349609375","2027.933349609375","2027.933349609375"
"104","1681.1898193359375","1681.1898193359375","1681.1898193359375","1918.442626953125","1918.442626953125","1918.442626953125"
"105","1681.9332275390625","1681.9332275390625","1681.9332275390625","1973.142333984375","1973.142333984375","1973.142333984375"
"106","1690.6441650390625","1690.6441650390625","1690.6441650390625","1919.5428466796875","1919.5428466796875","1919.5428466796875"
"107","1699.9990234375","1699.9990234375","1699.9990234375","2002.951904296875","2002.951904296875","2002.951904296875"
"108","1688.7379150390625","1688.7379150390625","1688.7379150390625","1965.182861328125","1965.182861328125","1965.182861328125"
"109","1653.4227294921875","1653.4227294921875","1653.4227294921875","1892.44091796875","1892.44091796875","1892.44091796875"
"110","1674.849609375","1674.849609375","1674.849609375","1949.9097900390625","1949.9097900390625","1949.9097900390625"
"111","1642.984619140625","1642.984619140625","1642.984619140625","1904.814208984375","1904.814208984375","1904.814208984375"
"112","1702.4364013671875","1702.4364013671875","1702.4364013671875","1976.9141845703125","1976.9141845703125","1976.9141845703125"
"113","1672.9974365234375","1672.9974365234375","1672.9974365234375","1952.5455322265625","1952.5455322265625","1952.5455322265625"
"114","1727.0133056640625","1727.0133056640625","1727.0133056640625","2039.25244140625","2039.25244140625","2039.25244140625"
"115","1681.241455078125","1681.241455078125","1681.241455078125","1948.02099609375","1948.02099609375","1948.02099609375"
"116","1669.357421875","1669.357421875","1669.357421875","1972.6307373046875","1972.6307373046875","1972.6307373046875"
"117","1667.9295654296875","1667.9295654296875","1667.9295654296875","1949.2578125","1949.2578125","1949.2578125"
"118","1701.6488037109375","1701.6488037109375","1701.6488037109375","1975.646484375","1975.646484375","1975.646484375"
"119","1726.0211181640625","1726.0211181640625","1726.0211181640625","1928.862060546875","1928.862060546875","1928.862060546875"
"120","1680.4609375","1680.4609375","1680.4609375","1932.6875","1932.6875","1932.6875"
"121","1674.1265869140625","1674.1265869140625","1674.1265869140625","1943.445068359375","1943.445068359375","1943.445068359375"
"122","1700.9862060546875","1700.9862060546875","1700.9862060546875","1981.2625732421875","1981.2625732421875","1981.2625732421875"
"123","1650.8394775390625","1650.8394775390625","1650.8394775390625","1925.231201171875","1925.231201171875","1925.231201171875"
"124","1655.0220947265625","1655.0220947265625","1655.0220947265625","1894.144287109375","1894.144287109375","1894.144287109375"
"125","1699.100830078125","1699.100830078125","1699.100830078125","1927.9224853515625","1927.9224853515625","1927.9224853515625"
"126","1674.378173828125","1674.378173828125","1674.378173828125","1933.980224609375","1933.980224609375","1933.980224609375"
"127","1679.184814453125","1679.184814453125","1679.184814453125","1952.6234130859375","1952.6234130859375","1952.6234130859375"
"128","1666.4947509765625","1666.4947509765625","1666.4947509765625","1922.6419677734375","1922.6419677734375","1922.6419677734375"
