"Step","Yahoo b512 l0.0005 -- qx8h22fz - hr_5","Yahoo b512 l0.0005 -- qx8h22fz - hr_5__MIN","Yahoo b512 l0.0005 -- qx8h22fz - hr_5__MAX","Yahoo b512 l0.0005 -- qx8h22fz - hr_10","Yahoo b512 l0.0005 -- qx8h22fz - hr_10__MIN","Yahoo b512 l0.0005 -- qx8h22fz - hr_10__MAX","Yahoo b512 l0.0005 -- qx8h22fz - hr_20","Yahoo b512 l0.0005 -- qx8h22fz - hr_20__MIN","Yahoo b512 l0.0005 -- qx8h22fz - hr_20__MAX"
"1514","0.0022216579916211755","0.0022216579916211755","0.0022216579916211755","0.0021962676145740765","0.0021962676145740765","0.0021962676145740765","0.0020597943379459184","0.0020597943379459184","0.0020597943379459184"
"1615","0.002297829122762473","0.002297829122762473","0.002297829122762473","0.002151834454741653","0.002151834454741653","0.002151834454741653","0.002174051034657865","0.002174051034657865","0.002174051034657865"
"1716","0.002170877237526977","0.002170877237526977","0.002170877237526977","0.002234353180144725","0.002234353180144725","0.002234353180144725","0.002215310397359401","0.002215310397359401","0.002215310397359401"
"1817","0.0023232194998095723","0.0023232194998095723","0.0023232194998095723","0.0023486098768566712","0.0023486098768566712","0.0023486098768566712","0.0022692649485844866","0.0022692649485844866","0.0022692649485844866"
"1918","0.0023993906309508696","0.0023993906309508696","0.0023993906309508696","0.0023676526596419956","0.0023676526596419956","0.0023676526596419956","0.002224831788752063","0.002224831788752063","0.002224831788752063"
"2073","0.0023993906309508696","0.0023993906309508696","0.0023993906309508696","0.0024565189793068426","0.0024565189793068426","0.0024565189793068426","0.002320045702678685","0.002320045702678685","0.002320045702678685"
"2174","0.002653294401421861","0.002653294401421861","0.002653294401421861","0.002570775676018789","0.002570775676018789","0.002570775676018789","0.0023803478481655453","0.0023803478481655453","0.0023803478481655453"
"2275","0.0027040751555160595","0.0027040751555160595","0.0027040751555160595","0.0026025136473276627","0.0026025136473276627","0.0026025136473276627","0.0024247810079979686","0.0024247810079979686","0.0024247810079979686"
"2376","0.002767551098133807","0.002767551098133807","0.002767551098133807","0.0026152088358512124","0.0026152088358512124","0.0026152088358512124","0.0024787355592230543","0.0024787355592230543","0.0024787355592230543"
"2477","0.002716770344039609","0.002716770344039609","0.002716770344039609","0.0025199949219245907","0.0025199949219245907","0.0025199949219245907","0.0024120858194744193","0.0024120858194744193","0.0024120858194744193"
"2578","0.002932588548939952","0.002932588548939952","0.002932588548939952","0.0026469468071600864","0.0026469468071600864","0.0026469468071600864","0.0023898692395582072","0.0023898692395582072","0.0023898692395582072"
"2679","0.0027929414751809065","0.0027929414751809065","0.0027929414751809065","0.0026723371842071854","0.0026723371842071854","0.0026723371842071854","0.0024120858194744193","0.0024120858194744193","0.0024120858194744193"
"2780","0.002843722229275105","0.002843722229275105","0.002843722229275105","0.0026469468071600864","0.0026469468071600864","0.0026469468071600864","0.0024374761965215183","0.0024374761965215183","0.0024374761965215183"
